50,100,39,83,180,230
50,200,50,200,452,264
50,300,50,300,567,285
50,400,50,400,654,299
50,500,50,500,726,310
50,600,50,600,1044,319
50,700,50,700,918,327
50,800,50,800,1033,334
50,900,50,900,1099,340
50,1000,50,1000,1232,345
50,1100,50,1100,986,350
50,1200,50,1200,1032,354
50,1300,50,1300,1028,358
50,1500,50,1500,1092,365
50,1600,50,1600,1064,368
50,1700,50,1700,1100,371
60,100,44,79,204,276
60,200,57,190,478,317
60,300,60,300,736,342
60,400,60,400,826,359
60,500,60,500,929,372
60,600,60,600,1076,383
60,700,60,700,1248,393
60,800,60,800,1114,401
60,900,60,900,1328,408
60,1000,60,1000,1358,414
60,1100,60,1100,1232,420
60,1200,60,1200,1434,425
60,1300,60,1300,1396,430
60,1500,60,1500,1378,438
60,1600,60,1600,1348,442
60,1700,60,1700,1504,446
70,100,8,7,10,322
70,200,69,198,542,370
70,300,70,300,762,399
70,400,70,400,978,419
70,500,70,500,1070,435
70,600,70,600,1362,447
70,700,70,700,1249,458
70,800,70,800,1288,467
70,900,70,900,1444,476
70,1000,70,1000,1456,483
70,1100,70,1100,1583,490
70,1200,70,1200,1568,496
70,1300,70,1300,1586,501
70,1500,70,1500,1784,511
70,1600,70,1600,1597,516
70,1700,70,1700,1612,520
80,100,36,47,132,368
80,200,68,177,496,423
80,300,76,284,876,456
80,400,80,400,954,479
80,500,80,500,1280,497
80,600,80,600,1286,511
80,700,80,700,1399,524
80,800,80,800,1789,534
80,900,80,900,1861,544
80,1000,80,1000,1538,552
80,1100,80,1100,1656,560
80,1200,80,1200,1812,567
80,1300,80,1300,1600,573
80,1500,80,1500,2050,585
80,1600,80,1600,1980,590
80,1700,80,1700,2016,595
90,100,29,33,82,414
90,200,58,114,342,476
90,300,83,270,848,513
90,400,87,387,1040,539
90,500,89,496,1338,559
90,600,90,600,1443,575
90,700,90,700,1504,589
90,800,90,800,1660,601
90,900,90,900,1818,612
90,1000,90,1000,1837,621
90,1100,90,1100,1930,630
90,1200,90,1200,1914,638
90,1300,90,1300,2023,645
90,1500,90,1500,2118,658
90,1600,90,1600,2256,663
90,1700,90,1700,2092,669
100,100,41,50,146,460
100,200,80,161,532,529
100,300,96,288,960,570
100,400,99,395,1144,599
100,500,99,493,1362,621
100,600,100,600,1534,639
100,700,100,700,1466,655
100,800,100,800,1864,668
100,900,100,900,1655,680
100,1000,100,1000,2128,690
100,1100,100,1100,2402,700
100,1200,100,1200,2056,709
100,1300,100,1300,2298,717
100,1500,100,1500,2274,731
100,1600,100,1600,2471,737
100,1700,100,1700,2596,743
120,100,5,4,0,552
120,200,2,1,0,635
120,300,97,233,830,684
120,400,113,382,1158,718
120,500,115,485,1258,745
120,600,119,592,1856,767
120,700,119,696,2016,786
120,800,120,800,2124,802
120,900,120,900,2436,816
120,1000,120,1000,2375,828
120,1100,120,1100,2532,840
120,1200,120,1200,2847,850
120,1300,120,1300,2660,860
120,1500,120,1500,2972,877
120,1600,120,1600,2966,885
120,1700,120,1700,3015,892
130,100,12,12,16,598
130,200,81,119,342,688
130,300,115,264,972,741
130,400,126,389,1560,778
130,500,127,493,1504,807
130,600,129,596,1822,831
130,700,130,700,1943,851
130,800,130,800,2081,868
130,900,130,900,2252,884
130,1000,129,992,2406,898
130,1100,130,1100,2646,910
130,1200,130,1200,2831,921
130,1300,130,1300,2673,932
130,1500,130,1500,2770,950
130,1600,130,1600,3096,959
130,1700,130,1700,3276,966
150,100,11,10,12,690
150,200,84,111,416,794
150,300,124,244,910,855
150,400,142,380,1348,898
150,500,145,480,1666,932
150,600,145,571,1880,959
150,700,147,680,2352,982
150,800,149,794,2496,1002
150,900,150,900,2790,1020
150,1000,150,1000,2760,1036
150,1100,150,1100,2704,1050
150,1200,150,1200,3113,1063
150,1300,150,1300,3335,1075
150,1500,150,1500,3504,1096
150,1600,150,1600,3610,1106
150,1700,150,1700,3434,1115
200,100,2,1,0,921
200,200,3,2,0,1059
200,300,133,194,900,1140
200,400,172,352,1570,1198
200,500,177,451,1742,1242
200,600,191,564,2210,1279
200,700,193,670,2516,1310
200,800,196,782,2938,1336
200,900,195,878,3106,1360
200,1000,196,975,3170,1381
200,1100,197,1087,3314,1400
200,1200,197,1180,3838,1418
200,1300,200,1300,3784,1434
200,1500,200,1500,4295,1462
200,1600,200,1600,4554,1475
200,1700,200,1700,4511,1487
